"29/11/2023","רשתות תאורה אור יהודה","989.37","מוצרי חשמל",""
"29/11/2023","\\פרח לי\\","8","אחזקת משרד",""
"29/11/2023","דואלי מכונות אוטומטיות","20","כיבוד",""
"30/11/2023","מחסני חשמל","2080","מוצרי חשמל",""
"30/11/2023","משרד המשפטים אגרות טאבו ר","136","מוסדות",""
"30/11/2023","קרייזי מיט","45","כיבוד",""
"02/12/2023","MYHOST אחסון ובניית אתרים","186.03","איחסון",""
"04/12/2023","ALIPAY*SINGA","158.12","תוכנות","סינגפור. מזהה כרטיס אינטרנט 3726"
"04/12/2023","ALIPAY*SINGA","7.19","תוכנות","סינגפור. מזהה כרטיס אינטרנט 3726"
